time;Portata [Nm3/h];%CH4;LHV [kWh/Nm3];Pin [kW];;;
186;369;60;5,964;298,2;;;
187;369;60;5,964;298,2;;;
188;369;60;5,964;298,2;;;
189;369;60;5,964;298,2;;;
190;369;60;5,964;298,2;;;
191;369;60;5,964;298,2;;;
192;369;60;5,964;298,2;;;
193;369;60;5,964;298,2;;;
194;369;60;5,964;298,2;;;
195;369;60;5,964;298,2;;;
196;369;60;5,964;298,2;;;
197;369;60;5,964;298,2;;;
198;369;60;5,964;298,2;;;
199;369;60;5,964;298,2;;;
200;369;60;5,964;298,2;;;
201;369;60;5,964;298,2;;;
202;369;60;5,964;298,2;;;
203;369;60;5,964;298,2;;;
204;369;60;5,964;298,2;;;
205;369;60;5,964;298,2;;;
206;369;60;5,964;298,2;;;
207;369;60;5,964;298,2;;;
208;369;60;5,964;298,2;;;
209;369;60;5,964;298,2;;;
210;369;60;5,964;298,2;;;
211;369;60;5,964;298,2;;;
212;369;60;5,964;298,2;;;
213;369;60;5,964;298,2;;;
214;369;60;5,964;298,2;;;
215;369;60;5,964;298,2;;;
216;369;60;5,964;298,2;;;
217;369;60;5,964;298,2;;;
218;369;60;5,964;298,2;;;
219;369;60;5,964;298,2;;;
220;369;60;5,964;298,2;;;
221;369;60;5,964;298,2;;;
222;369;60;5,964;298,2;;;
223;369;60;5,964;298,2;;;
224;369;60;5,964;298,2;;;
225;369;60;5,964;298,2;;;
226;369;60;5,964;298,2;;;
227;369;60;5,964;298,2;;;
228;369;60;5,964;298,2;;;
229;369;60;5,964;298,2;;;
230;369;60;5,964;298,2;;;
231;369;60;5,964;298,2;;;
232;369;60;5,964;298,2;;;
233;369;60;5,964;298,2;;;
234;369;60;5,964;298,2;;;
235;369;60;5,964;298,2;;;
236;369;60;5,964;298,2;;;
237;369;60;5,964;298,2;;;
238;369;60;5,964;298,2;;;
239;369;60;5,964;298,2;;;
240;369;60;5,964;298,2;;;
241;369;60;5,964;298,2;;;
242;369;60;5,964;298,2;;;
243;369;60;5,964;298,2;;;
244;369;60;5,964;298,2;;;
245;369;60;5,964;298,2;;;
246;369;60;5,964;298,2;;;
247;369;60;5,964;298,2;;;
248;369;60;5,964;298,2;;;
249;369;60;5,964;298,2;;;
250;369;60;5,964;298,2;;;
251;369;60;5,964;298,2;;;
252;369;60;5,964;298,2;;;
253;369;60;5,964;298,2;;;
254;369;60;5,964;298,2;;;
255;369;60;5,964;298,2;;;
256;369;60;5,964;298,2;;;
257;369;60;5,964;298,2;;;
258;369;60;5,964;298,2;;;
259;369;60;5,964;298,2;;;
260;369;60;5,964;298,2;;;
261;369;60;5,964;298,2;;;
262;369;60;5,964;298,2;;;
263;369;60;5,964;298,2;;;
264;369;60;5,964;298,2;;;
265;369;60;5,964;298,2;;;
266;369;60;5,964;298,2;;;
267;369;60;5,964;298,2;;;
268;369;60;5,964;298,2;;;
269;369;60;5,964;298,2;;;
270;369;60;5,964;298,2;;;
271;369;60;5,964;298,2;;;
272;369;60;5,964;298,2;;;
273;369;60;5,964;298,2;;;
274;369;60;5,964;298,2;;;
275;369;60;5,964;298,2;;;
276;369;60;5,964;298,2;;;
277;369;60;5,964;298,2;;;
278;369;60;5,964;298,2;;;
279;369;60;5,964;298,2;;;
280;369;60;5,964;298,2;;;
281;369;60;5,964;298,2;;;
282;369;60;5,964;298,2;;;
283;369;60;5,964;298,2;;;
284;369;60;5,964;298,2;;;
285;369;60;5,964;298,2;;;
286;369;60;5,964;298,2;;;
287;369;60;5,964;298,2;;;
288;369;60;5,964;298,2;;;
289;369;60;5,964;298,2;;;
290;369;60;5,964;298,2;;;
291;369;60;5,964;298,2;;;
292;369;60;5,964;298,2;;;
293;369;60;5,964;298,2;;;
294;369;60;5,964;298,2;;;
295;369;60;5,964;298,2;;;
296;369;60;5,964;298,2;;;
297;369;60;5,964;298,2;;;
298;369;60;5,964;298,2;;;
299;369;60;5,964;298,2;;;
300;369;60;5,964;298,2;;;
301;369;60;5,964;298,2;;;
302;369;60;5,964;298,2;;;
303;369;60;5,964;298,2;;;
304;369;60;5,964;298,2;;;
305;369;60;5,964;298,2;;;
306;369;60;5,964;298,2;;;
307;369;60;5,964;298,2;;;
308;369;60;5,964;298,2;;;
309;369;60;5,964;298,2;;;
310;369;60;5,964;298,2;;;
311;369;60;5,964;298,2;;;
312;369;60;5,964;298,2;;;
313;369;60;5,964;298,2;;;
314;369;60;5,964;298,2;;;
315;369;60;5,964;298,2;;;
316;369;60;5,964;298,2;;;
317;369;60;5,964;298,2;;;
318;369;60;5,964;298,2;;;
319;369;60;5,964;298,2;;;
320;369;60;5,964;298,2;;;
321;369;60;5,964;298,2;;;
322;369;60;5,964;298,2;;;
323;369;60;5,964;298,2;;;
324;369;60;5,964;298,2;;;
325;369;60;5,964;298,2;;;
326;369;60;5,964;298,2;;;
