time;P;G(i);H_sun;T2m;WS10m;Int
20200321:0410;0.0;0.0;0.0;4.43;1.24;0.0
20200321:0510;0.0;0.0;0.0;4.49;1.31;0.0
20200321:0610;17.15;32.63;6.79;4.44;1.31;0.0
20200321:0710;226.97;293.09;17.21;8.11;0.9;0.0
20200321:0810;442.73;542.8;26.98;11.59;1.03;0.0
20200321:0910;615.55;768.79;35.5;12.87;1.03;0.0
20200321:1010;726.7;934.56;41.93;14.07;0.97;0.0
20200321:1110;784.78;1018.67;45.28;13.85;1.1;0.0
20200321:1210;813.78;1063.85;44.8;14.37;1.17;0.0
20200321:1310;743.76;953.22;40.61;14.48;1.38;0.0
20200321:1410;643.16;800.68;33.57;13.61;1.66;0.0
20200321:1510;458.6;560.34;24.68;13.51;1.72;0.0
20200321:1610;256.55;323.55;14.71;12.79;1.72;0.0
20200321:1710;12.19;28.71;4.2;11.72;1.31;0.0
20200321:1810;0.0;0.0;0.0;10.29;1.38;0.0
20200321:1910;0.0;0.0;0.0;8.91;1.52;0.0
20200321:2010;0.0;0.0;0.0;8.65;1.31;0.0
20200321:2110;0.0;0.0;0.0;7.52;1.1;0.0
20200321:2210;0.0;0.0;0.0;7.52;0.83;0.0
20200321:2310;0.0;0.0;0.0;9.1;0.48;0.0
20200322:0010;0.0;0.0;0.0;8.84;0.0;0.0
20200322:0110;0.0;0.0;0.0;8.68;0.55;0.0
20200322:0210;0.0;0.0;0.0;6.86;0.9;0.0
20200322:0310;0.0;0.0;0.0;5.74;1.24;0.0
20200322:0410;0.0;0.0;0.0;5.94;1.45;0.0
20200322:0510;0.0;0.0;0.0;6.68;1.38;0.0
20200322:0610;20.14;36.92;7.13;7.21;1.31;0.0
20200322:0710;68.3;96.02;17.56;8.99;1.1;0.0
20200322:0810;85.0;115.55;27.34;9.52;0.97;0.0
20200322:0910;148.57;190.0;35.88;11.07;1.03;0.0
20200322:1010;85.59;117.39;42.33;12.01;1.24;0.0
20200322:1110;77.95;108.21;45.68;11.76;1.66;0.0
20200322:1210;76.34;106.38;45.18;12.01;2.0;0.0
20200322:1310;65.47;93.54;40.94;12.14;2.55;0.0
20200322:1410;63.25;90.79;33.86;11.99;3.31;0.0
20200322:1510;77.57;107.3;24.94;11.27;3.45;0.0
20200322:1610;143.37;184.55;14.94;10.95;3.38;0.0
20200322:1710;12.09;28.29;4.42;10.04;3.17;0.0
20200322:1810;0.0;0.0;0.0;8.65;2.83;0.0
20200322:1910;0.0;0.0;0.0;8.02;2.34;0.0
20200322:2010;0.0;0.0;0.0;7.86;2.14;0.0
20200322:2110;0.0;0.0;0.0;7.03;2.07;0.0
20200322:2210;0.0;0.0;0.0;6.42;1.93;0.0
20200322:2310;0.0;0.0;0.0;6.99;1.86;0.0
20200323:0010;0.0;0.0;0.0;6.58;1.66;0.0
20200323:0110;0.0;0.0;0.0;6.02;1.66;0.0
20200323:0210;0.0;0.0;0.0;5.21;1.93;0.0
20200323:0310;0.0;0.0;0.0;5.09;2.41;0.0
20200323:0410;0.0;0.0;0.0;4.61;2.69;0.0
20200323:0510;0.0;0.0;0.0;4.5;2.69;0.0
20200323:0610;21.16;37.78;7.46;4.08;2.76;0.0
20200323:0710;200.6;251.43;17.9;5.21;2.62;0.0
20200323:0810;256.16;304.03;27.7;5.09;2.76;0.0
20200323:0910;369.28;432.71;36.25;6.07;3.03;0.0
20200323:1010;435.69;511.18;42.73;6.82;3.31;0.0
20200323:1110;597.35;702.68;46.08;5.98;3.31;0.0
20200323:1210;495.33;581.43;45.55;6.52;3.24;0.0
20200323:1310;477.78;560.55;41.27;6.75;3.17;0.0
20200323:1410;679.76;805.79;34.15;6.62;3.03;0.0
20200323:1510;530.83;623.01;25.19;6.39;2.83;0.0
20200323:1610;300.03;364.1;15.18;6.02;2.55;0.0
20200323:1710;18.08;37.13;4.64;5.31;2.14;0.0
20200323:1810;0.0;0.0;0.0;4.22;1.59;0.0
20200323:1910;0.0;0.0;0.0;3.08;1.52;0.0
20200323:2010;0.0;0.0;0.0;2.87;1.31;0.0
20200323:2110;0.0;0.0;0.0;1.78;1.17;0.0
20200323:2210;0.0;0.0;0.0;1.01;1.03;0.0
20200323:2310;0.0;0.0;0.0;1.38;0.97;0.0
20200324:0010;0.0;0.0;0.0;0.97;0.83;0.0
20200324:0110;0.0;0.0;0.0;0.54;0.83;0.0
20200324:0210;0.0;0.0;0.0;-0.0;0.76;0.0
20200324:0310;0.0;0.0;0.0;-0.12;0.76;0.0
20200324:0410;0.0;0.0;0.0;-0.07;0.69;0.0
20200324:0510;0.0;0.0;0.0;0.35;0.62;0.0
20200324:0610;16.84;31.77;7.8;0.51;0.69;0.0
20200324:0710;257.34;320.2;18.24;1.5;1.03;0.0
20200324:0810;493.57;579.63;28.05;2.85;1.38;0.0
20200324:0910;674.04;805.6;36.63;4.33;1.52;0.0
20200324:1010;783.49;959.66;43.13;5.65;1.59;0.0
20200324:1110;853.96;1059.37;46.48;5.89;1.72;0.0
20200324:1210;880.66;1097.33;45.93;6.93;2.0;0.0
20200324:1310;823.19;1012.57;41.61;7.64;2.28;0.0
20200324:1410;706.87;847.38;34.44;7.16;2.55;0.0
20200324:1510;518.42;610.35;25.44;7.02;2.76;0.0
20200324:1610;309.03;374.98;15.41;6.35;2.9;0.0
20200324:1710;46.54;86.62;4.87;5.41;2.69;0.0
20200324:1810;0.0;0.0;0.0;4.07;2.28;0.0
20200324:1910;0.0;0.0;0.0;3.74;1.66;0.0
20200324:2010;0.0;0.0;0.0;3.3;1.52;0.0
20200324:2110;0.0;0.0;0.0;1.97;1.31;0.0
20200324:2210;0.0;0.0;0.0;1.28;1.17;0.0
20200324:2310;0.0;0.0;0.0;1.82;1.24;0.0
20200325:0010;0.0;0.0;0.0;1.41;1.24;0.0
20200325:0110;0.0;0.0;0.0;0.97;1.24;0.0
20200325:0210;0.0;0.0;0.0;-0.23;1.38;0.0
20200325:0310;0.0;0.0;0.0;-0.43;1.66;0.0
20200325:0410;0.0;0.0;0.0;0.09;1.72;0.0
20200325:0510;0.0;0.0;0.0;0.29;1.79;0.0
20200325:0610;32.01;50.66;8.13;0.6;1.86;0.0
20200325:0710;131.48;165.28;18.58;1.92;2.07;0.0
20200325:0810;100.45;129.31;28.41;2.67;2.55;0.0
20200325:0910;654.67;765.21;37.01;3.51;2.76;0.0
20200325:1010;162.11;199.0;43.52;4.85;3.45;0.0
20200325:1110;336.27;392.54;46.88;5.3;4.55;0.0
20200325:1210;653.57;764.1;46.3;5.74;4.41;0.0
20200325:1310;218.7;262.61;41.94;6.13;4.34;0.0
20200325:1410;411.84;475.87;34.72;5.14;4.28;0.0
20200325:1510;86.6;114.63;25.69;4.76;4.0;0.0
20200325:1610;300.55;359.99;15.64;4.16;3.66;0.0
20200325:1710;19.04;37.87;5.09;3.56;3.31;0.0
20200325:1810;0.0;0.0;0.0;2.33;3.17;0.0
20200325:1910;0.0;0.0;0.0;1.66;3.38;0.0
20200325:2010;0.0;0.0;0.0;1.79;3.31;0.0
20200325:2110;0.0;0.0;0.0;1.12;3.24;0.0
20200325:2210;0.0;0.0;0.0;0.77;3.38;0.0
20200325:2310;0.0;0.0;0.0;1.56;3.45;0.0
20200326:0010;0.0;0.0;0.0;1.24;3.52;0.0
20200326:0110;0.0;0.0;0.0;1.41;3.59;0.0
20200326:0210;0.0;0.0;0.0;0.78;3.66;0.0
20200326:0310;0.0;0.0;0.0;0.46;3.72;0.0
20200326:0410;0.0;0.0;0.0;0.17;3.66;0.0
20200326:0510;0.0;0.0;0.0;0.35;3.59;0.0
20200326:0610;32.78;51.51;8.46;0.53;3.45;0.0
20200326:0710;119.82;150.84;18.93;1.01;3.72;0.0
20200326:0810;177.32;212.13;28.77;1.65;4.9;0.0
20200326:0910;198.33;235.67;37.39;2.53;5.59;0.0
20200326:1010;89.17;116.47;43.92;2.9;5.79;0.0
20200326:1110;62.4;86.2;47.28;2.2;5.38;0.0
20200326:1210;63.98;88.04;46.68;2.31;5.24;0.0
20200326:1310;50.29;72.45;42.26;2.45;5.17;0.0
20200326:1410;44.03;65.11;35.0;2.18;5.24;0.0
20200326:1510;50.39;72.45;25.94;2.0;4.97;0.0
20200326:1610;54.3;76.94;15.87;1.74;4.0;0.0
20200326:1710;6.5;17.42;5.31;1.47;3.31;0.0
20200326:1810;0.0;0.0;0.0;1.18;2.97;0.0
20200326:1910;0.0;0.0;0.0;0.48;3.17;0.0
20200326:2010;0.0;0.0;0.0;1.05;3.31;0.0
20200326:2110;0.0;0.0;0.0;0.77;3.52;0.0
20200326:2210;0.0;0.0;0.0;0.67;3.52;0.0
20200326:2310;0.0;0.0;0.0;1.62;3.31;0.0
20200327:0010;0.0;0.0;0.0;1.73;3.17;0.0
20200327:0110;0.0;0.0;0.0;1.99;3.03;0.0
20200327:0210;0.0;0.0;0.0;1.78;2.97;0.0
20200327:0310;0.0;0.0;0.0;1.76;2.83;0.0
20200327:0410;0.0;0.0;0.0;1.9;2.76;0.0
20200327:0510;0.0;0.0;0.0;2.48;2.69;0.0
20200327:0610;29.59;48.08;8.8;2.63;2.62;0.0
20200327:0710;34.44;54.11;19.27;3.56;3.45;0.0
20200327:0810;71.42;97.21;29.12;3.95;3.24;0.0
20200327:0910;106.89;137.56;37.77;4.93;3.45;0.0
20200327:1010;111.39;143.06;44.32;5.81;3.66;0.0
20200327:1110;146.74;182.5;47.68;5.67;3.59;0.0
20200327:1210;228.07;274.37;47.05;6.39;3.17;0.0
20200327:1310;117.17;150.4;42.59;6.94;3.03;0.0
20200327:1410;171.24;210.78;35.29;6.76;3.1;0.0
20200327:1510;131.99;166.85;26.19;6.96;3.1;0.0
20200327:1610;58.36;83.34;16.09;6.96;2.97;0.0
20200327:1710;0.0;5.5;5.53;6.55;2.76;0.0
20200327:1810;0.0;0.0;0.0;6.0;2.55;0.0
20200327:1910;0.0;0.0;0.0;5.85;2.62;0.0
20200327:2010;0.0;0.0;0.0;6.32;2.34;0.0
20200327:2110;0.0;0.0;0.0;6.06;2.28;0.0
20200327:2210;0.0;0.0;0.0;5.81;2.21;0.0
20200327:2310;0.0;0.0;0.0;6.58;2.07;0.0
20200328:0010;0.0;0.0;0.0;6.4;2.0;0.0
20200328:0110;0.0;0.0;0.0;6.04;1.79;0.0
20200328:0210;0.0;0.0;0.0;5.17;1.66;0.0
20200328:0310;0.0;0.0;0.0;5.1;1.52;0.0
20200328:0410;0.0;0.0;0.0;4.83;1.45;0.0
20200328:0510;0.0;0.0;0.0;4.69;1.38;0.0
20200328:0610;27.22;45.5;9.13;4.35;1.24;0.0
20200328:0710;244.21;310.12;19.61;7.57;1.31;0.0
20200328:0810;461.57;555.27;29.48;9.45;1.86;0.0
20200328:0910;641.36;783.75;38.14;11.15;2.07;0.0
20200328:1010;743.6;932.34;44.71;12.7;2.0;0.0
20200328:1110;824.7;1054.87;48.08;13.06;1.86;0.0
20200328:1210;842.45;1094.82;47.42;14.22;1.59;0.0
20200328:1310;776.22;1002.76;42.92;14.91;1.38;0.0
20200328:1410;657.81;828.48;35.57;14.53;1.38;0.0
20200328:1510;477.54;590.28;26.44;14.25;1.17;0.0
20200328:1610;275.63;351.11;16.32;13.78;0.83;0.0
20200328:1710;53.49;98.33;5.74;12.88;0.21;0.0
20200328:1810;0.0;0.0;0.0;11.29;0.55;0.0
20200328:1910;0.0;0.0;0.0;9.17;0.83;0.0
20200328:2010;0.0;0.0;0.0;9.67;0.9;0.0
20200328:2110;0.0;0.0;0.0;8.22;1.1;0.0
20200328:2210;0.0;0.0;0.0;6.95;1.17;0.0
20200328:2310;0.0;0.0;0.0;6.84;1.24;0.0
20200329:0010;0.0;0.0;0.0;6.07;1.17;0.0
20200329:0110;0.0;0.0;0.0;5.88;1.17;0.0
20200329:0210;0.0;0.0;0.0;5.42;1.1;0.0
20200329:0310;0.0;0.0;0.0;5.42;1.03;0.0
20200329:0410;0.0;0.0;0.0;5.27;1.03;0.0
20200329:0510;0.0;0.0;0.0;5.51;1.1;0.0
20200329:0610;23.64;41.21;9.46;5.64;1.03;0.0
20200329:0710;249.88;319.96;19.95;9.0;1.03;0.0
20200329:0810;460.36;563.46;29.83;11.55;1.17;0.0
20200329:0910;617.42;771.96;38.52;12.97;1.03;0.0
20200329:1010;677.31;864.28;45.11;14.13;0.97;0.0
20200329:1110;730.79;935.34;48.47;13.94;1.31;0.0
20200329:1210;571.96;710.85;47.79;14.26;1.79;0.0
20200329:1310;722.87;909.79;43.24;13.47;1.86;0.0
20200329:1410;579.83;708.08;35.85;12.94;2.34;0.0
20200329:1510;149.05;190.39;26.68;12.25;2.41;0.0
20200329:1610;185.8;235.39;16.54;11.41;2.34;0.0
20200329:1710;55.28;99.27;5.96;10.28;2.07;0.0
20200329:1810;0.0;0.0;0.0;8.89;1.93;0.0
20200329:1910;0.0;0.0;0.0;8.1;1.86;0.0
20200329:2010;0.0;0.0;0.0;8.43;1.66;0.0
20200329:2110;0.0;0.0;0.0;8.11;1.45;0.0
20200329:2210;0.0;0.0;0.0;7.91;1.24;0.0
20200329:2310;0.0;0.0;0.0;8.63;1.03;0.0
20200330:0010;0.0;0.0;0.0;8.31;0.9;0.0
20200330:0110;0.0;0.0;0.0;8.08;0.83;0.0
20200330:0210;0.0;0.0;0.0;7.36;0.62;0.0
20200330:0310;0.0;0.0;0.0;6.99;0.48;0.0
20200330:0410;0.0;0.0;0.0;6.58;0.62;0.0
20200330:0510;0.0;0.0;0.0;6.81;0.69;0.0
20200330:0610;38.72;60.1;9.79;6.7;0.69;0.0
20200330:0710;140.75;181.42;20.28;8.94;1.1;0.0
20200330:0810;343.23;414.51;30.18;9.63;1.38;0.0
20200330:0910;318.04;384.83;38.89;10.44;1.72;0.0
20200330:1010;383.27;463.59;45.5;10.97;1.86;0.0
20200330:1110;102.37;135.73;48.87;10.2;2.07;0.0
20200330:1210;106.53;140.31;48.16;10.01;2.41;0.0
20200330:1310;249.17;303.79;43.56;10.25;2.41;0.0
20200330:1410;167.33;208.99;36.12;9.29;2.55;0.0
20200330:1510;75.15;103.63;26.93;9.08;2.69;0.0
20200330:1610;84.41;114.46;16.77;8.73;2.62;0.0
20200330:1710;32.87;58.95;6.18;8.17;2.55;0.0
20200330:1810;0.0;0.0;0.0;7.56;2.14;0.0
20200330:1910;0.0;0.0;0.0;7.48;1.86;0.0
20200330:2010;0.0;0.0;0.0;7.68;1.79;0.0
20200330:2110;0.0;0.0;0.0;7.27;1.86;0.0
20200330:2210;0.0;0.0;0.0;7.05;1.79;0.0
20200330:2310;0.0;0.0;0.0;7.75;1.79;0.0
20200331:0010;0.0;0.0;0.0;7.25;1.86;0.0
20200331:0110;0.0;0.0;0.0;6.09;2.07;0.0
20200331:0210;0.0;0.0;0.0;4.69;2.14;0.0
20200331:0310;0.0;0.0;0.0;3.61;2.48;0.0
20200331:0410;0.0;0.0;0.0;2.66;2.69;0.0
20200331:0510;0.0;0.0;0.0;2.7;2.97;0.0
20200331:0610;28.92;47.22;10.12;2.52;3.17;0.0
20200331:0710;32.01;51.36;20.62;4.45;2.9;0.0
20200331:0810;55.18;78.87;30.54;4.7;3.1;0.0
20200331:0910;75.61;102.71;39.26;5.71;3.03;0.0
20200331:1010;109.79;142.15;45.89;7.22;3.45;0.0
20200331:1110;408.61;480.4;49.26;7.12;3.66;0.0
20200331:1210;845.07;1024.79;48.52;8.21;3.79;0.0
20200331:1310;818.96;990.3;43.88;8.91;3.86;0.0
20200331:1410;712.25;847.16;36.4;8.36;3.79;0.0
20200331:1510;527.6;620.76;27.17;8.13;3.59;0.0
20200331:1610;308.81;376.61;16.99;7.54;3.31;0.0
20200331:1710;62.85;109.41;6.4;6.73;2.83;0.0
20200331:1810;0.0;0.0;0.0;5.47;2.21;0.0
20200331:1910;0.0;0.0;0.0;4.44;1.66;0.0
20200331:2010;0.0;0.0;0.0;4.11;1.52;0.0
20200331:2110;0.0;0.0;0.0;3.28;1.38;0.0
20200331:2210;0.0;0.0;0.0;2.13;1.31;0.0
20200331:2310;0.0;0.0;0.0;2.23;1.24;0.0
20200401:0010;0.0;0.0;0.0;1.43;1.1;0.0
20200401:0110;0.0;0.0;0.0;0.63;1.03;0.0
20200401:0210;0.0;0.0;0.0;0.57;0.97;0.0
20200401:0310;0.0;0.0;0.0;0.38;0.9;0.0
20200401:0410;0.0;0.0;0.0;0.09;0.9;0.0
20200401:0510;0.0;0.0;0.0;0.51;0.97;0.0
20200401:0610;45.72;66.97;10.45;0.93;0.9;0.0
20200401:0710;101.21;131.14;20.95;3.29;1.17;0.0
20200401:0810;160.06;196.98;30.89;4.18;1.52;0.0
20200401:0910;233.24;280.87;39.63;5.96;1.72;0.0
20200401:1010;357.07;425.19;46.28;7.33;1.93;0.0
20200401:1110;826.25;1020.2;49.65;7.29;2.14;0.0
20200401:1210;902.38;1130.65;48.89;8.12;2.21;0.0
20200401:1310;821.87;1018.11;44.2;8.77;2.21;0.0
20200401:1410;688.5;834.11;36.67;8.65;2.21;0.0
20200401:1510;507.14;605.57;27.41;8.66;2.07;0.0
20200401:1610;298.48;367.65;17.21;8.19;1.86;0.0
20200401:1710;61.22;106.21;6.61;7.13;1.59;0.0
20200401:1810;0.0;0.0;0.0;5.67;1.1;0.0
20200401:1910;0.0;0.0;0.0;3.96;1.45;0.0
20200401:2010;0.0;0.0;0.0;3.62;1.38;0.0
20200401:2110;0.0;0.0;0.0;2.45;1.24;0.0
20200401:2210;0.0;0.0;0.0;1.35;1.17;0.0
20200401:2310;0.0;0.0;0.0;1.84;1.1;0.0
20200402:0010;0.0;0.0;0.0;1.42;0.97;0.0
20200402:0110;0.0;0.0;0.0;0.97;0.97;0.0
20200402:0210;0.0;0.0;0.0;0.79;0.83;0.0
20200402:0310;0.0;0.0;0.0;0.5;0.83;0.0
20200402:0410;0.0;0.0;0.0;0.59;0.76;0.0
20200402:0510;0.0;0.0;0.0;0.94;0.69;0.0
20200402:0610;28.34;46.36;10.77;1.21;0.62;0.0
20200402:0710;282.39;351.11;21.29;3.69;0.9;0.0
20200402:0810;506.28;600.85;31.23;4.85;1.31;0.0
20200402:0910;670.64;815.69;40.0;6.52;1.17;0.0
20200402:1010;769.84;970.73;46.67;8.11;0.83;0.0
20200402:1110;832.7;1079.43;50.04;8.39;0.48;0.0
20200402:1210;848.04;1112.35;49.25;9.36;0.41;0.0
20200402:1310;797.24;1036.74;44.52;10.04;0.34;0.0
20200402:1410;670.72;845.66;36.94;9.98;0.34;0.0
20200402:1510;504.13;620.37;27.65;9.97;0.28;0.0
20200402:1610;296.33;370.7;17.43;9.59;0.62;0.0
20200402:1710;62.61;108.73;6.82;8.47;0.69;0.0
20200402:1810;0.0;0.0;0.0;6.88;0.76;0.0
20200402:1910;0.0;0.0;0.0;5.29;0.97;0.0
20200402:2010;0.0;0.0;0.0;4.78;1.17;0.0
20200402:2110;0.0;0.0;0.0;3.6;1.24;0.0
20200402:2210;0.0;0.0;0.0;3.06;1.1;0.0
20200402:2310;0.0;0.0;0.0;3.66;1.03;0.0
20200403:0010;0.0;0.0;0.0;2.98;1.03;0.0
20200403:0110;0.0;0.0;0.0;2.44;0.97;0.0
20200403:0210;0.0;0.0;0.0;2.41;0.97;0.0
20200403:0310;0.0;0.0;0.0;2.43;0.97;0.0
20200403:0410;0.0;0.0;0.0;2.48;0.9;0.0
20200403:0510;0.0;0.0;0.0;3.39;0.76;0.0
20200403:0610;27.99;46.36;11.1;3.65;0.48;0.0
20200403:0710;278.42;351.37;21.62;5.84;0.21;0.0
20200403:0810;495.17;599.52;31.58;8.26;0.97;0.0
20200403:0910;665.33;818.6;40.37;9.86;1.45;0.0
20200403:1010;780.29;980.19;47.05;11.1;1.79;0.0
20200403:1110;854.84;1087.51;50.43;11.23;1.93;0.0
20200403:1210;877.23;1124.27;49.61;12.14;2.0;0.0
20200403:1310;815.52;1036.68;44.83;12.79;1.93;0.0
20200403:1410;685.4;851.81;37.21;12.88;1.93;0.0
20200403:1510;500.37;610.68;27.88;12.76;1.86;0.0
20200403:1610;292.66;367.95;17.65;12.31;1.79;0.0
20200403:1710;61.83;108.96;7.04;11.14;1.24;0.0
20200403:1810;0.0;0.0;0.0;9.49;1.17;0.0
20200403:1910;0.0;0.0;0.0;7.54;1.24;0.0
20200403:2010;0.0;0.0;0.0;7.06;1.17;0.0
20200403:2110;0.0;0.0;0.0;5.9;1.1;0.0
20200403:2210;0.0;0.0;0.0;5.01;1.1;0.0
20200403:2310;0.0;0.0;0.0;5.75;1.03;0.0
20200404:0010;0.0;0.0;0.0;5.15;1.03;0.0
20200404:0110;0.0;0.0;0.0;4.45;1.1;0.0
20200404:0210;0.0;0.0;0.0;3.95;1.1;0.0
20200404:0310;0.0;0.0;0.0;3.36;1.1;0.0
20200404:0410;0.0;0.0;0.0;2.83;1.1;0.0
20200404:0510;0.0;0.0;0.0;2.92;1.03;0.0
20200404:0610;30.13;48.94;11.42;3.45;0.97;0.0
20200404:0710;282.07;356.74;21.95;7.77;1.03;0.0
20200404:0810;509.7;618.01;31.92;9.91;1.59;0.0
20200404:0910;674.0;832.75;40.73;11.74;1.86;0.0
20200404:1010;771.55;977.06;47.44;13.28;1.93;0.0
20200404:1110;837.55;1077.64;50.82;13.45;1.86;0.0
20200404:1210;842.54;1088.21;49.97;14.49;2.0;0.0
20200404:1310;791.97;1013.68;45.14;15.13;2.07;0.0
20200404:1410;678.98;848.25;37.48;14.98;2.28;0.0
20200404:1510;496.9;609.21;28.12;14.8;2.41;0.0
20200404:1610;290.24;367.08;17.87;14.19;2.34;0.0
20200404:1710;63.14;111.34;7.25;12.84;1.79;0.0
20200404:1810;0.0;0.0;0.0;11.03;1.59;0.0
20200404:1910;0.0;0.0;0.0;9.76;1.45;0.0
20200404:2010;0.0;0.0;0.0;9.46;1.17;0.0
20200404:2110;0.0;0.0;0.0;8.72;0.97;0.0
20200404:2210;0.0;0.0;0.0;8.23;0.83;0.0
20200404:2310;0.0;0.0;0.0;7.91;0.83;0.0
20200405:0010;0.0;0.0;0.0;6.99;0.83;0.0
20200405:0110;0.0;0.0;0.0;6.22;0.83;0.0
20200405:0210;0.0;0.0;0.0;5.28;0.9;0.0
20200405:0310;0.0;0.0;0.0;4.4;0.97;0.0
20200405:0410;0.0;0.0;0.0;3.74;1.03;0.0
20200405:0510;0.0;0.0;0.0;3.77;1.03;0.0
20200405:0610;39.19;60.1;11.74;4.35;1.03;0.0
20200405:0710;270.32;341.71;22.27;8.85;1.17;0.0
20200405:0810;484.05;586.4;32.26;10.5;1.79;0.0
20200405:0910;652.27;801.87;41.09;12.32;2.28;0.0
20200405:1010;774.18;971.28;47.82;13.84;2.69;0.0
20200405:1110;859.87;1083.96;51.21;13.89;3.31;0.0
20200405:1210;871.51;1102.13;50.33;14.56;3.45;0.0
20200405:1310;823.19;1032.67;45.45;14.94;3.52;0.0
20200405:1410;680.73;836.68;37.74;14.57;3.45;0.0
20200405:1510;508.47;617.6;28.35;14.31;3.31;0.0
20200405:1610;294.72;370.58;18.08;13.69;3.1;0.0
20200405:1710;63.31;111.13;7.46;12.39;2.62;0.0
20200405:1810;0.0;0.0;0.0;10.64;2.28;0.0
20200405:1910;0.0;0.0;0.0;9.11;2.0;0.0
20200405:2010;0.0;0.0;0.0;8.65;2.0;0.0
20200405:2110;0.0;0.0;0.0;7.66;1.86;0.0
20200405:2210;0.0;0.0;0.0;6.83;1.72;0.0
20200405:2310;0.0;0.0;0.0;7.3;1.72;0.0
20200406:0010;0.0;0.0;0.0;6.65;1.66;0.0
20200406:0110;0.0;0.0;0.0;5.99;1.66;0.0
20200406:0210;0.0;0.0;0.0;5.43;1.66;0.0
20200406:0310;0.0;0.0;0.0;4.92;1.72;0.0
20200406:0410;0.0;0.0;0.0;4.52;1.79;0.0
20200406:0510;0.0;0.0;0.0;4.63;1.79;0.0
20200406:0610;35.46;55.81;12.06;5.43;1.66;0.0
20200406:0710;281.89;357.34;22.6;9.66;1.66;0.0
20200406:0810;500.15;605.75;32.6;11.18;2.21;0.0
20200406:0910;665.98;818.7;41.46;12.98;2.62;0.0
20200406:1010;778.31;977.08;48.2;14.5;2.9;0.0
20200406:1110;851.08;1082.12;51.59;14.56;2.9;0.0
20200406:1210;866.37;1112.28;50.68;15.5;2.76;0.0
20200406:1310;803.18;1023.03;45.76;16.04;2.69;0.0
20200406:1410;678.59;845.46;38.0;15.78;2.76;0.0
20200406:1510;495.28;607.37;28.58;15.5;2.76;0.0
20200406:1610;282.44;358.33;18.3;15.09;2.69;0.0
20200406:1710;63.67;112.38;7.67;13.83;2.34;0.0
20200406:1810;0.0;0.0;0.0;12.03;1.93;0.0
20200406:1910;0.0;0.0;0.0;10.89;1.79;0.0
20200406:2010;0.0;0.0;0.0;10.08;1.52;0.0
20200406:2110;0.0;0.0;0.0;8.79;1.38;0.0
20200406:2210;0.0;0.0;0.0;7.4;1.38;0.0
20200406:2310;0.0;0.0;0.0;7.6;1.31;0.0
20200407:0010;0.0;0.0;0.0;6.99;1.24;0.0
20200407:0110;0.0;0.0;0.0;6.38;1.17;0.0
20200407:0210;0.0;0.0;0.0;5.96;1.17;0.0
20200407:0310;0.0;0.0;0.0;5.51;1.17;0.0
20200407:0410;0.0;0.0;0.0;5.21;1.1;0.0
20200407:0510;0.0;0.0;0.0;5.49;1.03;0.0
20200407:0610;35.96;56.67;12.38;6.38;0.97;0.0
20200407:0710;279.33;356.83;22.92;11.18;1.24;0.0
20200407:0810;492.48;604.95;32.94;13.27;1.79;0.0
20200407:0910;651.47;815.64;41.81;15.11;2.0;0.0
20200407:1010;757.94;972.04;48.58;16.63;2.14;0.0
20200407:1110;827.48;1069.17;51.97;16.71;2.48;0.0
20200407:1210;831.28;1079.3;51.04;17.46;2.48;0.0
20200407:1310;777.08;998.11;46.06;17.92;2.62;0.0
20200407:1410;655.2;822.78;38.26;17.67;2.76;0.0
20200407:1510;487.95;603.74;28.82;17.44;2.83;0.0
20200407:1610;282.03;360.61;18.51;16.82;2.76;0.0
20200407:1710;64.04;113.29;7.88;15.39;2.21;0.0
20200407:1810;0.0;0.0;0.0;13.4;1.86;0.0
20200407:1910;0.0;0.0;0.0;12.46;1.79;0.0
20200407:2010;0.0;0.0;0.0;11.19;1.66;0.0
20200407:2110;0.0;0.0;0.0;9.54;1.59;0.0
20200407:2210;0.0;0.0;0.0;8.25;1.59;0.0
20200407:2310;0.0;0.0;0.0;8.27;1.59;0.0
20200408:0010;0.0;0.0;0.0;7.25;1.59;0.0
20200408:0110;0.0;0.0;0.0;6.36;1.59;0.0
20200408:0210;0.0;0.0;0.0;5.62;1.52;0.0
20200408:0310;0.0;0.0;0.0;5.19;1.45;0.0
20200408:0410;0.0;0.0;0.0;4.82;1.31;0.0
20200408:0510;0.0;0.0;0.0;4.99;1.24;0.0
20200408:0610;32.55;52.37;12.69;5.87;1.1;0.0
20200408:0710;292.77;373.54;23.24;10.78;1.31;0.0
20200408:0810;510.9;624.84;33.28;12.57;2.0;0.0
20200408:0910;673.48;840.03;42.17;14.46;2.21;0.0
20200408:1010;786.4;1007.34;48.96;16.07;2.28;0.0
20200408:1110;849.71;1100.59;52.35;16.24;2.41;0.0
20200408:1210;858.18;1123.31;51.39;17.13;2.21;0.0
20200408:1310;799.41;1039.21;46.37;17.69;2.07;0.0
20200408:1410;674.15;855.07;38.52;17.51;2.14;0.0
20200408:1510;508.26;632.88;29.04;17.3;2.21;0.0
20200408:1610;294.27;377.02;18.73;16.68;2.28;0.0
20200408:1710;68.54;121.53;8.09;15.24;1.86;0.0
20200408:1810;0.0;0.0;0.0;13.22;1.66;0.0
20200408:1910;0.0;0.0;0.0;11.43;1.59;0.0
20200408:2010;0.0;0.0;0.0;10.06;1.24;0.0
