time;Potenza [kW]
432;1796.2
433;1596.6
434;1472.8
435;1412.29995
436;1371.2
437;1353.14995
438;1378.8
439;1486.94995
440;1692.5
441;1865.19995
442;2017.45
443;2064.85
444;1999.90005
445;1930.55
446;1838.6
447;1781.55
448;1793.30005
449;1791.19995
450;1912.90005
451;2077.05
452;2110.1
453;2016.85005
454;1851
455;1727.75
456;1607.95005
457;1463.45
458;1336.15
459;1242.64995
460;1213.25005
461;1187
462;1207.64995
463;1253
464;1340.55
465;1410.65
466;1552.75
467;1627.35
468;1681.90005
469;1681.1
470;1636.2
471;1552.85
472;1548.85
473;1582.7
474;1701.95
475;1875.65
476;1943.4
477;1901.69995
478;1813.45
479;1674.35005
480;1516.6
481;1346.79995
482;1236
483;1203.94995
484;1194.2
485;1209.9
486;1306.8
487;1579.65
488;2041.7
489;2361
490;2516.6
491;2523.19995
492;2505.4
493;2401.4
494;2341.7
495;2419.25
496;2471.49995
497;2490.7
498;2552.35005
499;2574
500;2534
501;2375.85
502;2219.65005
503;2010.25
504;1815.20005
505;1618.69995
506;1504.44995
507;1427.85005
508;1401.15
509;1420.10005
510;1489.35
511;1707.9
512;2110.5
513;2437.15
514;2577.5
515;2594.9001
516;2575.95
517;2469.95
518;2398.09995
519;2438.4
520;2459.75
521;2485.65
522;2541.45
523;2610.9
524;2550.3
525;2406.2
526;2238.05005
527;2010.55
528;1808.95005
529;1614.5
530;1497.45
531;1438.15
532;1418.1
533;1441.54995
534;1500.40005
535;1745.3
536;2158.3
537;2450.1
538;2608.84995
539;2634.39995
540;2607.20005
541;2536.65
542;2456.65
543;2513
544;2530.9
545;2558.15
546;2623.10005
547;2653.4
548;2604.25
549;2439.95
550;2285.8
551;2031.45
552;1833.79995
553;1673.70005
554;1549
555;1464.6
556;1458.05
557;1457.25
558;1520.3
559;1742.3
560;2192.1
561;2459.34995
562;2625.10005
563;2656.6
564;2667.49995
565;2540.44995
566;2491.09995
567;2526.05
568;2542.75
569;2522.2
570;2580.39995
571;2666.74995
572;2623.65
573;2462.65
574;2266.60005
575;2042.30005
576;1839.95
577;1649.80005
578;1508.30005
579;1436.75
580;1408.09995
581;1421.59995
582;1496.25
583;1728.7
584;2165
585;2435.79995
586;2596.65
587;2627.34995
588;2608
589;2514.74995
590;2409.80005
591;2426.89995
592;2446.7
593;2416.4
594;2461.55005
595;2549.8
596;2516.05
597;2361.05005
598;2197.5
599;1965.05
600;1766.75
601;1616.05005
602;1463.35005
603;1365.90005
604;1342.6
605;1344.25005
606;1370.85
607;1483.6
608;1701.44995
609;1855.8
610;2039.90005
611;2100.2
612;2069.04995
613;1975.09995
614;1847.39995
615;1780.5
616;1772
617;1794.65
618;1894.6
619;2126.9
620;2152.20005
621;2039.1999
622;1891.45
623;1737.5
624;1591.85
625;1446.6
626;1328.30005
627;1236.25005
628;1197.2
629;1186.74995
630;1201.6
631;1262.74995
632;1358.40005
633;1420.49995
634;1573.30005
635;1701.95005
636;1733.79995
637;1758.50005
638;1679.94995
639;1614.19995
640;1612.85
641;1634.09995
642;1705.8
643;1874.99995
644;1937.5
645;1887.05005
646;1787.20005
647;1638.44995
648;1475.1
649;1314.5
650;1222.94995
651;1172.5
652;1165.94995
653;1179.79995
654;1260
655;1546.9
656;1968.5
657;2292.39995
658;2451.5
659;2478.55
660;2477.24995
661;2382.39995
662;2319.25
663;2380.05
664;2380.7001
665;2405.95
666;2428.59995
667;2509.05
668;2453.6
669;2339.6
670;2183.1
671;1949.65
672;1751.89995
673;1561.4
674;1449.65
675;1381.3
676;1372.35
677;1382.85
678;1449.15
679;1706.29995
680;2097.60005
681;2423.5
682;2558.7
683;2572.79995
684;2567.20005
